date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:54:24	114138/114138	---M-Z	200	added ('OK')	text/html	etag:%221bdda-615f6cb78e2fd-gzip%22	https://shreethemes.in/superex/layouts/index-dark-rtl.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/index-dark-rtl.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:25	103759/103759	---M-Z	200	added ('OK')	text/html	etag:%221954f-615f6cb78e2fd-gzip%22	https://shreethemes.in/superex/layouts/index-two-dark-rtl.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/index-two-dark-rtl.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:26	88960/88960	---M-Z	200	added ('OK')	text/html	etag:%2215b80-615f6cb78e2fd-gzip%22	https://shreethemes.in/superex/layouts/index-three-dark-rtl.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/index-three-dark-rtl.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:27	94284/94284	---M-Z	200	added ('OK')	text/html	etag:%221704c-615f6cb78e2fd-gzip%22	https://shreethemes.in/superex/layouts/index-four-dark-rtl.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/index-four-dark-rtl.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:28	92955/92955	---M-Z	200	added ('OK')	text/html	etag:%2216b1b-615f6cb78e2fd-gzip%22	https://shreethemes.in/superex/layouts/index-five-dark-rtl.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/index-five-dark-rtl.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:30	126166/126166	---M--	200	added ('OK')	image/png	etag:%221ecd6-615f6cb737455%22	https://shreethemes.in/superex/layouts/images/character.png	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/images/character.png	(from https://shreethemes.in/superex/layouts/index.html)
22:54:30	81146/81146	---M-Z	200	added ('OK')	text/html	etag:%2213cfa-615f6cb72c874-gzip%22	https://shreethemes.in/superex/layouts/explore-one.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/explore-one.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:31	83066/83066	---M-Z	200	added ('OK')	text/html	etag:%221447a-615f6cb72c874-gzip%22	https://shreethemes.in/superex/layouts/explore-two.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/explore-two.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:32	83058/83058	---M-Z	200	added ('OK')	text/html	etag:%2214472-615f6cb72c874-gzip%22	https://shreethemes.in/superex/layouts/explore-three.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/explore-three.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:33	89587/89587	---M-Z	200	added ('OK')	text/html	etag:%2215df3-615f6cb72c874-gzip%22	https://shreethemes.in/superex/layouts/explore-four.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/explore-four.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:34	59414/59414	---M-Z	200	added ('OK')	text/html	etag:%22e816-615f6cb725b13-gzip%22	https://shreethemes.in/superex/layouts/auction.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/auction.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:35	69242/69242	---M-Z	200	added ('OK')	text/html	etag:%2210e7a-615f6cb78f29d-gzip%22	https://shreethemes.in/superex/layouts/item-detail-one.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/item-detail-one.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:36	76393/76393	---M-Z	200	added ('OK')	text/html	etag:%2212a69-615f6cb78f29d-gzip%22	https://shreethemes.in/superex/layouts/item-detail-two.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/item-detail-two.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:37	54733/54733	---M-Z	200	added ('OK')	text/html	etag:%22d5cd-615f6cb725b13-gzip%22	https://shreethemes.in/superex/layouts/activity.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/activity.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:38	57047/57047	---M-Z	200	added ('OK')	text/html	etag:%22ded7-615f6cb79217e-gzip%22	https://shreethemes.in/superex/layouts/wallet.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/wallet.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:39	58878/58878	---M-Z	200	added ('OK')	text/html	etag:%22e5fe-615f6cb725b13-gzip%22	https://shreethemes.in/superex/layouts/aboutus.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/aboutus.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:40	50897/50897	---M-Z	200	added ('OK')	text/html	etag:%22c6d1-615f6cb7289f4-gzip%22	https://shreethemes.in/superex/layouts/creators.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/creators.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:41	40074/40074	---M-Z	200	added ('OK')	text/html	etag:%229c8a-615f6cb725b13-gzip%22	https://shreethemes.in/superex/layouts/become-creator.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/become-creator.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:42	61533/61533	---M-Z	200	added ('OK')	text/html	etag:%22f05d-615f6cb727a54-gzip%22	https://shreethemes.in/superex/layouts/collections.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/collections.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:43	59471/59471	---M-Z	200	added ('OK')	text/html	etag:%22e84f-615f6cb726ab4-gzip%22	https://shreethemes.in/superex/layouts/blogs.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/blogs.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:44	66983/66983	---M-Z	200	added ('OK')	text/html	etag:%22105a7-615f6cb726ab4-gzip%22	https://shreethemes.in/superex/layouts/blog-sidebar.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/blog-sidebar.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:45	38577/38577	---M-Z	200	added ('OK')	text/html	etag:%2296b1-615f6cb725b13-gzip%22	https://shreethemes.in/superex/layouts/blog-detail.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/blog-detail.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:46	10658/10658	---M-Z	200	added ('OK')	text/html	etag:%2229a2-615f6cb79023d-gzip%22	https://shreethemes.in/superex/layouts/login.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/login.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:47	10827/10827	---M-Z	200	added ('OK')	text/html	etag:%222a4b-615f6cb79217e-gzip%22	https://shreethemes.in/superex/layouts/signup.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/signup.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:48	9290/9290	---M-Z	200	added ('OK')	text/html	etag:%22244a-615f6cb79217e-gzip%22	https://shreethemes.in/superex/layouts/reset-password.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/reset-password.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:49	8144/8144	---M-Z	200	added ('OK')	text/html	etag:%221fd0-615f6cb727a54-gzip%22	https://shreethemes.in/superex/layouts/comingsoon.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/comingsoon.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:50	7554/7554	---M-Z	200	added ('OK')	text/html	etag:%221d82-615f6cb79023d-gzip%22	https://shreethemes.in/superex/layouts/maintenance.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/maintenance.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:51	7539/7539	---M-Z	200	added ('OK')	text/html	etag:%221d73-615f6cb72c874-gzip%22	https://shreethemes.in/superex/layouts/error.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/error.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:52	45401/45401	---M-Z	200	added ('OK')	text/html	etag:%22b159-615f6cb732635-gzip%22	https://shreethemes.in/superex/layouts/helpcenter-overview.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/helpcenter-overview.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:53	56868/56868	---M-Z	200	added ('OK')	text/html	etag:%22de24-615f6cb732635-gzip%22	https://shreethemes.in/superex/layouts/helpcenter-faqs.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/helpcenter-faqs.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:54	43671/43671	---M-Z	200	added ('OK')	text/html	etag:%22aa97-615f6cb732635-gzip%22	https://shreethemes.in/superex/layouts/helpcenter-guides.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/helpcenter-guides.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:55	39182/39182	---M-Z	200	added ('OK')	text/html	etag:%22990e-615f6cb732635-gzip%22	https://shreethemes.in/superex/layouts/helpcenter-support-request.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/helpcenter-support-request.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:56	43939/43939	---M-Z	200	added ('OK')	text/html	etag:%22aba3-615f6cb79217e-gzip%22	https://shreethemes.in/superex/layouts/upload-work.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/upload-work.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:57	44624/44624	---M-Z	200	added ('OK')	text/html	etag:%22ae50-615f6cb79217e-gzip%22	https://shreethemes.in/superex/layouts/terms.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/terms.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:58	37571/37571	---M-Z	200	added ('OK')	text/html	etag:%2292c3-615f6cb79217e-gzip%22	https://shreethemes.in/superex/layouts/privacy.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/privacy.html	(from https://shreethemes.in/superex/layouts/index.html)
22:54:59	38377/38377	---M-Z	200	added ('OK')	text/html	etag:%2295e9-615f6cb727a54-gzip%22	https://shreethemes.in/superex/layouts/changelog.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/changelog.html	(from https://shreethemes.in/superex/layouts/index.html)
22:55:00	43426/43426	---M-Z	200	added ('OK')	text/html	etag:%22a9a2-615f6cb727a54-gzip%22	https://shreethemes.in/superex/layouts/contact.html	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/contact.html	(from https://shreethemes.in/superex/layouts/index.html)
22:55:02	257418/257418	---M--	200	added ('OK')	image/png	etag:%223ed8a-615f6cb735515%22	https://shreethemes.in/superex/layouts/images/bg/bg01.png	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/images/bg/bg01.png	(from https://shreethemes.in/superex/layouts/index.html)
22:55:03	26783/26783	---M--	200	added ('OK')	image/jpeg	etag:%22689f-615f6cb737455%22	https://shreethemes.in/superex/layouts/images/client/08.jpg	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/images/client/08.jpg	(from https://shreethemes.in/superex/layouts/index.html)
22:55:03	14917/14917	---M--	200	added ('OK')	image/jpeg	etag:%223a45-615f6cb737455%22	https://shreethemes.in/superex/layouts/images/client/05.jpg	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/images/client/05.jpg	(from https://shreethemes.in/superex/layouts/index.html)
22:55:04	21354/21354	---M--	200	added ('OK')	image/jpeg	etag:%22536a-615f6cb737455%22	https://shreethemes.in/superex/layouts/images/client/06.jpg	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/images/client/06.jpg	(from https://shreethemes.in/superex/layouts/index.html)
22:55:06	30870/30870	---M--	200	added ('OK')	image/jpeg	etag:%227896-615f6cb78d35d%22	https://shreethemes.in/superex/layouts/images/work/1.jpg	/Users/kayishlm/code/project-matkul/template-commerce-1/shreethemes.in/superex/layouts/images/work/1.jpg	(from https://shreethemes.in/superex/layouts/index.html)
